timestamp,tau_raw_ms,tau_filt_ms,err_std_mm,err_prop_mm
2.953,156.6,166.8,0.87,0.11
2.963,180.5,167.4,2.27,0.15
2.973,124.1,165.6,4.97,0.23
2.983,163.9,165.6,0.45,0.12
2.993,109.2,163.3,6.56,0.27
3.003,104.9,161.0,6.7,0.27
3.013,151.9,160.6,0.56,0.12
3.023,151.9,160.3,0.53,0.12
3.033,160.6,160.3,0.83,0.14
3.043,168.6,160.6,1.74,0.16
3.0531,192.6,161.9,4.63,0.25
3.0631,145.7,161.2,1.55,0.13
3.0731,125.5,159.8,3.99,0.18
3.0831,171.8,160.3,2.08,0.17
3.0931,118.4,158.6,4.76,0.21
3.1031,134.3,157.6,2.48,0.14
3.1131,97.4,155.2,6.96,0.28
3.1231,91.2,152.7,7.32,0.29
3.1331,184.1,153.9,4.79,0.27
3.1431,170.6,154.6,2.81,0.19
3.1532,155.7,154.6,0.81,0.14
3.1632,126.2,153.5,2.99,0.16
3.1732,101.8,151.4,5.87,0.24
3.1832,99.3,149.3,5.83,0.24
3.1932,107.9,147.7,4.4,0.19
3.2032,137.0,147.3,0.6,0.13
3.2132,152.8,147.5,1.58,0.16
3.2232,146.7,147.5,0.74,0.14
3.2332,107.9,145.9,4.23,0.19
3.2432,174.7,147.0,4.43,0.24
3.2533,152.4,147.2,1.36,0.15
3.2633,133.4,146.7,1.14,0.13
3.2733,138.5,146.4,0.45,0.13
3.2833,118.6,145.2,2.88,0.16
3.2933,100.9,143.5,4.93,0.22
3.3033,111.1,142.2,3.35,0.17
3.3133,150.8,142.5,1.85,0.16
3.3233,75.9,139.9,7.67,0.31
3.3333,85.6,137.7,6.0,0.24
3.3433,78.2,135.3,6.57,0.26
3.3534,77.2,133.0,6.3,0.25
3.3634,158.3,134.0,4.28,0.25
3.3734,142.7,134.3,2.09,0.17
3.3834,119.4,133.7,1.04,0.13
3.3934,81.5,131.7,5.7,0.24
3.4034,120.5,131.2,0.57,0.13
3.4134,118.5,130.7,0.75,0.12
3.4234,88.2,129.0,4.44,0.19
3.4334,114.0,128.4,0.98,0.13
3.4434,110.3,127.7,1.36,0.13
3.4535,131.9,127.8,1.5,0.16
3.4635,133.7,128.1,1.63,0.16
3.4735,74.6,125.9,5.91,0.24
3.4835,107.5,125.2,1.45,0.13
3.4935,132.6,125.5,1.84,0.17
3.5035,120.3,125.3,0.29,0.13
3.5135,155.7,126.5,4.6,0.25
3.5235,136.0,126.9,1.85,0.16
3.5335,86.5,125.3,4.48,0.21
3.5435,77.3,123.4,5.36,0.23
3.5536,134.7,123.8,2.17,0.17
3.5636,73.2,121.8,5.68,0.24
3.5736,129.4,122.1,1.72,0.16
3.5836,165.1,123.8,6.09,0.29
3.5936,128.8,124.0,1.18,0.14
3.6036,110.4,123.5,1.22,0.13
3.6136,136.2,124.0,2.1,0.15
